jp,fr,occurrences,has_var,en_hint
"レニガンシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"レニガンＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"艶のある黒い招待状。
正式な服装で招待に応じる
必要がありそう。",,1,,
"艶のある白い招待状。
正式な服装で招待に応じる
必要がありそう。",,1,,
"潔燭Ｄシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"特別なイベントの開催時に
ギルドから配布されるくじ券。
武具工房でくじを引こう！",,1,yes,
"見ているだけでドキドキと
胸の高まりを感じるコイン。
収集欲が湧いてくる。",,1,yes,
"ブルックＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"シルックＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ゴルックＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"磁斬鎚を極めんとする者に
与えられる努力の証【序】",,1,,
"磁斬鎚を極めんとする者に
与えられる努力の証【中】",,1,,
"磁斬鎚を極めんとする者に
与えられる努力の証【極】",,1,,
"磁斬鎚を極めんとする者に
与えられる努力の証【天】",,1,,
"磁斬鎚をさらに極めんと
する者に与えられる
精励の綬章。【序】",,1,,
"磁斬鎚をさらに極めんと
する者に与えられる
精励の綬章。【中】",,1,,
"磁斬鎚をさらに極めんと
する者に与えられる
精励の綬章。【極】",,1,,
"磁斬鎚を極め、高みへと
到達した者に与えられる
礼賛の勲章。【序】",,1,,
"磁斬鎚を極め、高みへと
到達した者に与えられる
礼賛の勲章。【中】",,1,,
"磁斬鎚を極め、高みへと
到達した者に与えられる
礼賛の勲章。【極】",,1,,
"幻の人気月刊誌『狩りに
生きる』増刊号。伝説の
収納術が今、ここに…！",,1,,
"不可思議な紋様が彫られた
刻印。片手剣の秘技が
刻まれているという。",,1,,
"不可思議な紋様が彫られた
刻印。双剣の秘技が
刻まれているという。",,1,,
"不可思議な紋様が彫られた
刻印。大剣の秘技が
刻まれているという。",,1,,
"不可思議な紋様が彫られた
刻印。太刀の秘技が
刻まれているという。",,1,,
"不可思議な紋様が彫られた
刻印。鎚の秘技が
刻まれているという。",,1,,
"不可思議な紋様が彫られた
刻印。狩猟笛の秘技が
刻まれているという。",,1,,
"不可思議な紋様が彫られた
刻印。槍の秘技が
刻まれているという。",,1,,
"不可思議な紋様が彫られた
刻印。銃槍の秘技が
刻まれているという。",,1,,
"不可思議な紋様が彫られた
刻印。剣斧の秘技が
刻まれているという。",,1,,
"不可思議な紋様が彫られた
刻印。穿龍棍の秘技が
刻まれているという。",,1,,
"不可思議な紋様が彫られた
刻印。磁斬鎚の秘技が
刻まれているという。",,1,,
"不可思議な紋様が彫られた
刻印。軽銃の秘技が
刻まれているという。",,1,,
"不可思議な紋様が彫られた
刻印。重銃の秘技が
刻まれているという。",,1,,
"不可思議な紋様が彫られた
刻印。弓の秘技が
刻まれているという。",,1,,
"舞姫歌扇貤の
生産方法が記された紙。
工房に持って行こう！",,1,,
"ソウルイーター貤の
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"イデアルストレイダ貤の
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"樽ラッピーキャノン貤の
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ＰＳＯ２シリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ＰＳＯ２Ｄシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"武具工房にいるハリセンネコ
から「ＰＳＯ２コラボくじ」
を引くためのチケット。",,1,yes,
"シジルとは形状が異なる
印章。禍々しい雰囲気を
放っている。",,1,yes,
"メタルＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"プロミスＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"星祭Ｄシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"イクスＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"きんねこＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ぎんねこＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"クレールＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ゴルトＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ファランＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"テクストＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ガリトスＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"スリートＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ステノＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"エディオＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"オメットＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"カエシスＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ゾデックＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"アージェＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"カマレラＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"メテネラＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"アビットＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"リブリーＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"マゴスＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ピクスＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"セクティＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"オナブルＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"飛天Ｄシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"バンデＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"レグヌムＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ガニアＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"アミスタＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ペリフＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"アルマＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"レアルＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"フェルムＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"メレティＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"アリストＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"リゲリアＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"バーニーＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"蘭陀Ｄシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"マイストＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"トラスＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"カウチュＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"シエナＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"レイストＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"クロースＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"グロリアＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ゲルトＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"セレナＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"シェリフＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ナーガＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"天日Ｄシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ルフレＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"マリンＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ダスクＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ヴァクスＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"リズヴェＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"コンセルＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"シカリＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ストレガＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"エクエスＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ウィダＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"クラージＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"アネシスＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ザーカーＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ヴィネンＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ルデオスＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ブレオＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ルージュＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"オネロＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ディーナＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"オーロワＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ヒガクレＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ペルセＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"オリクトＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ヨルティＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ニスルＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"マアデンＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"チェニーＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"エギエネＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"トルボダＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"カバリバＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ノルックＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ヴァリエＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"アルミュＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"チャトレＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"パシオＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"カリヴァＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ラッピーが落としていった
黄色い羽。ふわふわ。
{c05}（精算アイテム）",,1,yes,
"ラッピーが落としていった
黄色い羽。ごくふわ。
{c05}（精算アイテム）",,1,yes,
"多くの層から成る爆霧竜の皮。
外部からの衝撃を効率的に
分散させることができる。",,1,,
"特殊な構造をした爆霧竜の鱗。
衝撃を受けた瞬間に小規模の
爆発が起き、力を相殺する。",,1,,
"高い密度を誇る爆霧竜の骨。
叩きつけの恐るべき衝撃は、
この密度から生み出される。",,1,,
"爆霧竜の全身を流れる血液。
体内から取り出すと、可燃性
の気体となる。",,1,,
"爆霧竜が放つガスが充満する
器官。ここに集められた血液
が気体となり、放出される。",,1,yes,
"内部に爆霧竜のガスが満ちて
いる透明な宝玉。外から衝撃
を加えると、炎が発生する。",,1,yes,
"先端が異様な形をした爆霧竜
の尻尾。地中に差し込み、
周囲にガスを噴出させる。",,1,yes,
"先端が異様な形をした爆霧竜
の尻尾。切断してしまえば、
背後への脅威性が弱まる。",,1,,
"あまり鋭くない爆霧竜の牙。
噛み砕くというより、
すり潰すように使う。",,1,,
"とても重い爆霧竜の牙。
石の様な材質でできており、
強くすり合せると火花がでる。",,1,,
"爆霧竜の背中に生えている
独特な形をした外骨格。
ガスの成分が満ちている。",,1,yes,
"爆霧竜の背中に生えている
独特な形をした外骨格。
まるで岩のように堅い。",,1,,
"大きな管がついている爆霧竜
の腕。噴出されるガスには
十分に注意が必要。",,1,yes,
"大きな管がついている爆霧竜
の腕。ガスを放出すると、
一時的に軟化するようだ。",,1,yes,
"大きな管がついている爆霧竜
の腕。叩きつけには、巨大な
爆発が伴う。",,1,,
"大きな管がついている爆霧竜
の腕。強力な叩きつけで、
獲物を執拗に攻める。",,1,,
"玄武・剣聖シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"玄武・双龍シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"玄武・剣王シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"玄武・刀神シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"玄武・天槍シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"玄武・砲皇シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"玄武・鈍器獣シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"玄武・奏帝シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"玄武・穿凰シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"玄武・斬将シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"玄武・銃傑シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"玄武・銃仙シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"玄武・弓鬼シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"レックスPD黒シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"レックスPD白シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"レックスPD紫シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"モノブロスPD黄シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"モノブロスPD緑シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"モノブロスPD白シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"フルフルPD黒・ガンナーシ
リーズの解放方法が記され
た紙。工房に持って行こう！",,1,yes,
"フルフルPD緑・ガンナーシ
リーズの解放方法が記され
た紙。工房に持って行こう！",,1,yes,
"フルフルPD青・ガンナーシ
リーズの解放方法が記され
た紙。工房に持って行こう！",,1,yes,
"ガノスPD黒シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ガノスPD黄シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ガノスPD紫シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ゲリョスPD赤シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ゲリョスPD黄シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ゲリョスPD緑シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"神楽PD赤シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"神楽PD黒シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"神楽PD紫シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"神座PD赤シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"神座PD黒シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"神座PD紫シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"モスPD白シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"モスPD黄シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"モスPD青シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"忍の装束・陰PD黄シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"忍の装束・陰PD赤シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"忍の装束・陰PD青シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"試作型マグネットスパイクを
作成する事ができる素材。
西洋の文字が刻まれている。",,1,yes,
"潮島の地下に眠っていたまば
ゆいばかりの財宝。あの金銀
武器の素材になるかも？",,1,,
"異国から届いた極秘の設計図。
大口径の砲身からは、相手を
殲滅する強固な意志を感じる。",,1,,
"異国から届いた極秘の設計図。
希少な素材と工房の加工技術
により大幅に性能が向上した。",,1,,
"青紫色の気体が詰まったビン。
中に煙が充満している。
火気厳禁！",,1,yes,
"見る角度によって色が変わる
塗料。手練れの絵描きでも
扱いが難しい。",,1,,
"ラッピーＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ラッピーネコシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"歌詠Ｄシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"歌紡Ｄシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"災禍である存在を
討伐したハンターへ贈られる
ギルドからの感謝の証。",,1,yes,
"凶災をもたらす存在を
討伐したハンターへ贈られる
ギルドからの感謝の証。",,1,yes,
"特殊な鎧竜の甲殻。
凄まじい高温に耐えられるが
剥ぎ取りには骨が折れる。",,1,,
"高熱を帯びた鎧竜の胸殻。
討伐直後から熱を帯びる為
手早く剥ぎ取る必要がある。",,1,,
"巨体を支える鎧竜の重骨。
見た目以上の重さゆえに
持ち運ぶのに一苦労。",,1,,
"熱に強く、一時的とはいえ
巨体を浮かすことのできる
鎧竜の翼。",,1,,
"特殊な内臓器官で通常よりも
発火しやすい粉塵が大量に
詰まっている。取扱注意！",,1,,
"灼熱を閉じ込めたような
鎧竜の玉石。見るだけで
額に汗が滲む。",,1,,
"辿異種鎧竜の頭殻。
とてつもなく重いが
頑強さも最上級。",,1,,
"辿異種鎧竜の頭殻。
その中でもひときわ重い。
頑強さも類をみない。",,1,,
"辿異種鎧竜の尾骨。
鎧竜の素材の中では扱い易く
極めて高い熱に耐えられる。",,1,,
"辿異種鎧竜の尾骨。
その中でも最上級のもの。
重量も最上級。",,1,,
"原形をとどめないほどに変異
した鎧竜の躰。背中が火山の
火口のような形をしている。",,1,,
"原形をとどめないほどに変異
した鎧竜の躰。衝撃と高温
に対して無類の強度を誇る。",,1,,
"原形をとどめないほどに変異
した鎧竜の躰。膨大な熱を持
ち、近寄るのは困難。",,1,,
"原形をとどめないほどに変異
した鎧竜の躰。諦めない者
だけが入手できる素材。",,1,,
"強靭さと伸縮性に富む素材。
斑模様は良質の証とされ
その紋様は個体差が大きい。",,1,,
"黒紫鱗とも呼ばれる鱗。
高貴さを感じさせる色味だが
熱に弱く職人の腕が試される。",,1,,
"混血液を使った武具は
劣化しづらいため
最後の仕上げに重宝される。",,1,,
"吸収した血を瞬時に
体の隅々まで循環させる器官。
しなやかさが段違い。",,1,,
"吸血した血を貯める袋。
血だけを吸い続けた結果
桁違いに凝縮されている。",,1,,
"喰血竜の舌の先端。
華のように広がったその形は
恐ろしさと美しさが同居する。",,1,,
"土や水を強くはじく部位。
土に沈むように潜れる
原理の鍵で研究価値が高い。",,1,,
"微触手の中で最も土を
はじく力が強い部位。
ただし剥ぎ取るのは至難の業。",,1,,
"喰血竜の背中に生えている
ヒレ。薄いが鋭利なため、
扱いには細心の注意が必要。",,1,yes,
"喰血竜の背中に生えている
ヒレの中でも特に薄いもの。
薄さに比例して鋭利になる。",,1,yes,
"特殊な喰血竜の尻尾から剥ぎ
取れる素材。尻尾の先端が
鋭いほど高品質で需要がある。",,1,,
"極上の喰血竜の尻尾。
力が逃げず、突き刺せば
あらゆるものに穴を穿つ。",,1,,
"恐ろしく異様な形に発達した
喰血竜の頭。剣の刃が連なる
が如きその顎はまさに異形。",,1,,
"恐ろしく異様な形に発達した
喰血竜の頭。加工すると
材質的にとても錆びづらい。",,1,,
"恐ろしく異様な形に発達した
喰血竜の頭。喰血竜の恐ろし
さがにじみ出ている。",,1,,
"恐ろしく異様な形に発達した
喰血竜の頭。血と混ぜ合わせ
ることで別の特色が現れる。",,1,,
"タンザナＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ヘマタイトＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"白虎・磁星シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"朱雀・磁星シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"玄武・磁星シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ラヴィシリーズを纏い老山龍
を撃退したものに贈られる、
ラヴィエンテへの愛の証。",,1,yes,
"ラヴィシリーズを纏い砦蟹を
撃退したものに贈られる、
ラヴィエンテへの愛の証。",,1,yes,
"磁斬鎚を極めしＬラスタの
グラハムが、一人前の使い手
と認めたものに授ける証書。",,1,yes,
"磁斬鎚を極めしＬラスタの
グラハムが、熟練した使い手
と認めたものに授ける奥義書。",,1,yes,
"ミニオシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ハリネシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"パッカリグークの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"パックリグークの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"でか焼鳥ニャ！の
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ローソンネコスーツの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"アリシアシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"アリシアＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"亀さんを助けたことで
受取ったお礼状。
何個あっても嬉しいもの。",,1,,
"乙姫の依頼を達成したことで
もらえた立派な箱。
中は煙も何も入っていない。",,1,,
"切断したばかりの尻尾から
手に入れた血と髄液などを
混ぜたもの。新鮮さがウリ。",,1,yes,
"切断したばかりの尻尾から
手に入れた血と髄液などを
混ぜたもの。強くなりそう！",,1,,
"ハンター達から仕入れた番人
についての情報の一部。
青系…高い場所に居る…",,1,yes,
"ハンター達から仕入れた番人
についての情報の一部。
水晶のようなもの…攻撃…",,1,yes,
"あれ？コイツじゃないの？
違うのかぁ…。悪かったね。
{c05}（精算アイテム）",,1,yes,
"メゼフェス限定の、財布の
紐が緩む動作が追加される。
＜act59＞で使用可能。",,1,yes,
"メゼフェス限定の、唄が聴こ
えそうな動作が追加される。
＜act60＞で使用可能。",,1,yes,
"メゼフェス限定の、音が聴こ
えそうな動作が追加される。
＜act61＞で使用可能。",,1,yes,
"メゼフェス限定の、終わらぬ
勝負の動作が追加される。
＜act62＞で使用可能。",,1,yes,
"メゼフェス限定の、荒ぶる者
を止める動作が追加される。
＜act63＞で使用可能。",,1,yes,
"雅葉ノ装シリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"雅葉ノ装Ｄシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"雅葉ノ装Ｃシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ファビラシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ファビラＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"装飾品の素材としてかかせな
い珠。獅子の鬣を彷彿とさせ
る、美しい模様をしている。",,1,,
"装飾品の素材としてかかせな
い珠。黒帯を思わせる、太い
黒線が目印の原珠。",,1,,
"落とし主が分からない落し物。
黒ずんだ銀色の金属片で、
何かの部品のようだ。",,1,,
"とてもアツイおいしそうな肉。
しかし味はマズいので、武器
の素材に用いられる。",,1,yes,
"黒く怪しい輝きを放つ石。
入手経路が謎に包まれ、
存在自体も怪しい鉱石。",,1,,
"いくつもの鉱物が混ざり合い
ながら溶け、ひとつになった
鉱石。硬すぎて加工が困難。",,1,,
"翼の種類や形状、機能、翼を
持つ生態について調べた結果
をまとめた資料。",,1,,
"翼への憧れが先行して、個人
の情熱が溢れている、読むの
も大変な分厚い資料。",,1,,
"高地に生息するエルペを中心
に…というか、ほぼエルペに
ついて書いてある書籍。",,1,yes,
"高地に生息するブルックを
中心に…というか、ほぼ
ブルックについての書籍。",,1,yes,
"高地に生息する…主にエルペ
とブルックについて、詳細な
図解と共に書かれた書籍。",,1,yes,
"アスモＣシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ロッカＣシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ルーチェＣシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"シュイＣシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"アウラＣシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"和を感じさせる不思議な麻。
麻には見たことのない文字
と一枚の絵が書かれている。",,1,,
"アリシスシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"アリシスＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ロゥリィシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ロゥリィＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"何か不思議な運命を
予感させる歯車。
工房に持って行こう！",,1,,
"グークが赤い装束に身を包ん
だ像。寒い時期になると、
どこかに飾りたくなる。",,1,yes,
"鬼武者Ｄシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"爆破を伴う紫色の霧が固体に
なったものと言われている。
とても珍しい物質。",,1,,
"熟練の設計者が作成した設計
図。必要数集めて武具工房に
持っていこう。",,1,,
"熟練の設計者が作成した改造
設計図。必要数集めて武具工
房に持っていこう。",,1,,
"炎角竜の再現度が高く今にも
動きだしそうなオブジェ。
彼女が丹精を込めて作った品。",,1,yes,
"炎角竜の再現度が高く今にも
唸りをあげそうなオブジェ。
彼女の転機を感じさせる品。",,1,yes,
"ぬいぐるみ作成に使えそうな
毛糸で色合いが美しい。
楽しく裁縫ができそう。",,1,,
"振りかけた対象の可愛さを
アップさせる不思議な粉。
可愛いは力なり！",,1,yes,
"新年にもらった謎の袋。
何かが入っているが、
ゼニ―ではないようだ。",,1,yes,
"鶴の模様をしたグーク笛の
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"鴨の模様をしたグーク笛の
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"鸚鵡の模様をしたグーク笛の
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"新年にもらえるはずだった謎
の袋。名前にミのつく誰かが
渡しそびれたようだ…。",,1,,
"ラビウスシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ラビウスＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ロクラスシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ロクラスＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"レコリスシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"レコリスＤシリーズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"決して錆びる事のない、
特殊な加工を施された歯車。
技術の発展に大きく貢献した。",,1,,
"グリディＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ふわふわで、もこもこで、
まんまるな尻尾。集めると
いいことがあるかも。",,1,,
"シフニィＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"煉燭Ｄシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ラファンＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ラファンＣシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"ビーターＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"コレプトＤシリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"青龍・剣聖シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"青龍・双龍シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
"青龍・剣王シリーズの
解放方法が記された紙。
工房に持って行こう！",,1,yes,
